,Tuition,UG,SAT_AVG_ALL,PCTPELL
0,13435.0,4380.0,850.0,0.7249
1,16023.0,10331.0,1147.0,0.3505
2,18661.0,5220.0,1221.0,0.3179
3,7400.0,4348.0,844.0,0.7567
4,20575.0,15318.0,1181.0,0.2009
5,14176.0,4098.0,990.0,0.4373
6,22183.0,18326.0,1218.0,0.1631
7,21562.0,1395.0,1167.0,0.1992
8,23970.0,612.0,985.0,0.5596
9,19685.0,657.0,992.0,0.4207
10,11194.0,95.0,848.0,0.5806
11,17139.0,6491.0,1062.0,0.4308
12,13152.0,321.0,1031.0,0.5635
13,12733.0,1595.0,930.0,0.5343
14,19649.0,1764.0,1025.0,0.4918
15,16885.0,2557.0,1069.0,0.4058
16,11438.0,4944.0,1027.0,0.402
17,24565.0,1767.0,923.0,0.5312
18,27065.0,2870.0,1162.0,0.1373
19,15204.0,9232.0,1045.0,0.4003
20,9657.0,1227.0,1120.0,0.35
21,16988.0,1530.0,831.0,0.6818
22,11551.0,3810.0,1046.0,0.4319
23,31468.0,2467.0,955.0,0.4869
24,9942.0,6359.0,1058.0,0.228
25,18218.0,479.0,985.0,0.2761
26,11337.0,33985.0,1143.0,0.3138
27,22180.0,757.0,1039.0,0.4397
28,27570.0,60.0,997.0,0.2809
29,12218.0,8283.0,990.0,0.4
30,17003.0,471.0,1120.0,0.4262
31,14546.0,12502.0,1154.0,0.2295
32,7959.0,2926.0,871.0,0.723
33,12152.0,9289.0,1088.0,0.4565
34,13063.0,7471.0,1068.0,0.4138
35,15829.0,381.0,968.0,0.4336
36,17276.0,3982.0,1135.0,0.2584
37,9937.0,3182.0,988.0,0.5452
38,25503.0,1129.0,1270.0,0.2035
39,19234.0,1404.0,1209.0,0.2846
40,19251.0,1714.0,1120.0,0.2751
41,14723.0,622.0,1034.0,0.4327
42,14731.0,660.0,1010.0,0.4786
43,11328.0,2781.0,988.0,0.4944
44,27183.0,3453.0,1080.0,0.3427
45,31113.0,2797.0,1115.0,0.3163
46,30628.0,1524.0,960.0,0.5643
47,24760.0,929.0,1544.0,0.1292
48,28487.0,1816.0,1109.0,0.2386
49,17661.0,15867.0,1259.0,0.1943
50,6679.0,10273.0,887.0,0.6163
51,13390.0,16436.0,1066.0,0.4615
52,13365.0,13907.0,1003.0,0.435
53,6112.0,15413.0,897.0,0.5633
54,7454.0,23385.0,1024.0,0.4429
55,9163.0,25153.0,1056.0,0.5049
56,3227.0,13476.0,874.0,0.6773
57,6797.0,22553.0,902.0,0.5334
58,8710.0,20342.0,948.0,0.5298
59,13262.0,22678.0,1397.0,0.3114
60,15052.0,20388.0,1226.0,0.4123
61,13648.0,16223.0,1175.0,0.4602
62,13328.0,25011.0,1339.0,0.3524
63,11779.0,11436.0,1119.0,0.568
64,13913.0,16496.0,1344.0,0.3844
65,14767.0,17538.0,1248.0,0.3806
66,17222.0,11075.0,1201.0,0.4534
67,36367.0,2953.0,1217.0,0.198
68,25548.0,1184.0,1029.0,0.2805
69,26521.0,675.0,933.0,0.5436
70,24298.0,1003.0,1408.0,0.1153
71,33496.0,946.0,1054.0,0.2909
72,16117.0,878.0,988.0,0.5603
73,29865.0,717.0,1484.0,0.1269
74,25533.0,592.0,858.0,0.4861
75,13148.0,6469.0,990.0,0.5348
76,18192.0,488.0,901.0,0.4708
77,20606.0,3319.0,1034.0,0.4583
78,21904.0,1217.0,929.0,0.5196
79,24540.0,1118.0,1091.0,0.3045
80,37606.0,2430.0,1222.0,0.1957
81,28725.0,649.0,1018.0,0.3186
82,25097.0,684.0,1183.0,0.5016
83,27949.0,1708.0,915.0,0.5806
84,25723.0,987.0,910.0,0.4406
85,28630.0,1703.0,1304.0,0.202
86,34829.0,896.0,1045.0,0.4273
87,21651.0,637.0,910.0,0.5491
88,22661.0,1465.0,984.0,0.4665
89,30108.0,3093.0,1152.0,0.3738
90,33314.0,3068.0,1226.0,0.186
91,31473.0,2304.0,1148.0,0.2699
92,14908.0,1574.0,1435.0,0.1982
93,28859.0,3015.0,1130.0,0.2993
94,13475.0,25658.0,1130.0,0.3764
95,33865.0,4793.0,1236.0,0.1773
96,12768.0,20365.0,979.0,0.4495
97,33655.0,4664.0,1172.0,0.2535
98,19700.0,395.0,1012.0,0.4284
99,13183.0,20711.0,1055.0,0.4245
100,34425.0,4308.0,1313.0,0.1205
101,28126.0,787.0,1362.0,0.108
102,19739.0,1026.0,1001.0,0.5562
103,32721.0,3035.0,1124.0,0.2588
104,15710.0,6211.0,996.0,0.3268
105,23052.0,1470.0,975.0,0.4137
106,52073.0,19.0,1116.0,0.3118
107,29174.0,15705.0,1391.0,0.2307
108,22199.0,277.0,1280.0,0.3545
109,30787.0,1323.0,1179.0,0.2069
110,36005.0,1294.0,1057.0,0.369
111,27920.0,1135.0,944.0,0.4432
112,16212.0,2080.0,954.0,0.5051
113,14519.0,8093.0,1055.0,0.2751
114,14649.0,4967.0,1088.0,0.3202
115,21806.0,23612.0,1212.0,0.1723
116,24929.0,2559.0,1339.0,0.1688
117,16777.0,20728.0,1145.0,0.2427
118,28839.0,3992.0,1249.0,0.1717
119,15836.0,4285.0,1012.0,0.3417
